ID_CORRELATIVO,TIPO_REQUERIMIENTO2,DICTAMEN,CODMES,PRODUCTO_SERVICIO_2,SUBMOTIVO_2
0064216,Reclamo,NO PROCEDE,201206,Producto 20,Submotivo 43
0064216,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0035660,Reclamo,PROCEDE TOTAL,201208,Producto 17,Submotivo 89
0022480,Reclamo,PROCEDE TOTAL,201208,Producto 07,Submotivo 27
0024691,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
0024691,Reclamo,PROCEDE PARCIAL,201208,Producto 18,Submotivo 125
0022576,Reclamo,NO PROCEDE,201205,Producto 18,Submotivo 123
0022576,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0071497,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0071497,Solicitud,NO PROCEDE,201205,Producto 20,Submotivo 157
0017292,Reclamo,NO PROCEDE,201205,Producto 20,Submotivo 125
0031419,Reclamo,NO PROCEDE,201204,Producto 21,Submotivo 40
0031419,Reclamo,PROCEDE TOTAL,201204,Producto 21,Submotivo 88
0023200,Solicitud,PROCEDE TOTAL,201208,Producto 07,Submotivo 144
0023200,Reclamo,NO PROCEDE,201208,Producto 07,Submotivo 125
0009568,Reclamo,PROCEDE TOTAL,201203,Producto 21,Submotivo 156
0012721,Solicitud,NO PROCEDE,201203,Producto 20,Submotivo 157
0012721,Reclamo,NO PROCEDE,201203,Producto 20,Submotivo 125
0010346,Solicitud,NO PROCEDE,201208,Producto 20,Submotivo 157
0022617,Solicitud,NO PROCEDE,201204,Producto 20,Submotivo 132
0022617,Reclamo,PROCEDE TOTAL,201204,Producto 01,Submotivo 146
0045282,Solicitud,PROCEDE TOTAL,201205,Producto 20,Submotivo 157
0075712,Solicitud,PROCEDE TOTAL,201206,Producto 07,Submotivo 144
0040059,Reclamo,NO PROCEDE,201207,Producto 21,Submotivo 88
0040059,Reclamo,NO PROCEDE,201206,Producto 21,Submotivo 88
0018610,Reclamo,NO PROCEDE,201205,Producto 07,Submotivo 125
0075728,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0057394,Solicitud,NO PROCEDE,201206,Producto 20,Submotivo 157
0058758,Reclamo,PROCEDE TOTAL,201208,Producto 20,Submotivo 125
0046666,Solicitud,PROCEDE TOTAL,201208,Producto 20,Submotivo 132
0046666,Reclamo,PROCEDE TOTAL,201208,Producto 18,Submotivo 125
0046666,Reclamo,NO PROCEDE,201208,Producto 20,Submotivo 125
0002180,Reclamo,PROCEDE TOTAL,201205,Producto 01,Submotivo 146
